genres,title,id
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,603280
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,753110
"['Action', 'Indie']",Orbitality,753100
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,764280
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,758550
['Action'],Advent Rising,3800
"['Indie', 'Strategy']",DEFCON,1520
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2420
"['Indie', 'Simulation']",Garry's Mod,4000
['Racing'],RACE - The WTCC Game,4230
"['Casual', 'Indie']",Zen of Sudoku,4900
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2520
['Strategy'],Ghost Master®,6200
['Strategy'],Vegas: Make It Big™,6210
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,6300
['Racing'],FlatOut 2™,2990
['Racing'],FlatOut,6220
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,6510
['Strategy'],CivCity: Rome,3980
['RPG'],Arx Fatalis,1700
"['Action', 'Adventure', 'RPG']",The Longest Journey,6310
['Strategy'],Civilization IV®: Warlords,3990
['Strategy'],Railroad Tycoon 3,7610
['Strategy'],Sid Meier's Railroads!,7600
['Strategy'],Railroad Tycoon II Platinum,7620
"['Casual', 'Indie']",RIP - Trilogy™,2540
['Strategy'],X-COM: Terror From the Deep,7650
"['Action', 'Adventure']",Tomb Raider: Anniversary,8000
['Action'],Devil May Cry® 3 Special Edition,6550
"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,8200
['Action'],Final DOOM,2290
"['Indie', 'RPG']",Vigil: Blood Bitterness™,2570
"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,8210
['Action'],Ultimate Doom,2280
['Action'],Master Levels for Doom II,9160
['Action'],DOOM II,2300
['Action'],Wolfenstein 3D,2270
['Action'],Return to Castle Wolfenstein,9010
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,9040
['Action'],Spear of Destiny,9000
['Action'],BloodRayne,3810
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,9030
['Action'],QUAKE,2310
['Strategy'],Genesis Rising,3230
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",9310
"['Action', 'RPG']",BioShock™,7670
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580
['Strategy'],Rome: Total War™ - Collection,4760
['Strategy'],Rome: Total War™ - Alexander,4770
['Casual'],Mystery Case Files: Madame Fate®,50970
['Action'],Grand Theft Auto,12170
['Action'],Grand Theft Auto 2,12180
['Action'],Manhunt,12130
['Racing'],Midnight Club 2,12160
['Action'],Max Payne 2: The Fall of Max Payne,12150
"['Action', 'Adventure']",Tomb Raider: Legend,7000
['Action'],Max Payne,12140
['Strategy'],Command &amp; Conquer: Red Alert 3,17480
['Casual'],PuzzleQuest: Challenge of the Warlords,12500
"['RPG', 'Casual', 'Adventure']",Culpa Innata,12310
['Strategy'],Prison Tycoon 3™: Lockdown,12510
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,12530
['Racing'],18 Wheels of Steel: American Long Haul,12520
['Action'],Conflict: Denied Ops,8100
['Action'],ARMA: Combat Operations,2780
['Simulation'],Tycoon City: New York,9730
['Action'],Desperados 2: Cooper's Revenge,9710
"['Action', 'Adventure']",Death to Spies,9800
['Action'],Act of War: High Treason,9760
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2700
['Action'],Act of War: Direct Action,2710
['Action'],Unreal 2: The Awakening,13200
['Action'],Unreal Gold,13250
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,13000
['Action'],Tom Clancy's Splinter Cell®,13560
['Action'],Far Cry®,13520
['Action'],Unreal Tournament: Game of the Year Edition,13240
['Action'],Tom Clancy's Rainbow Six® Vegas,13540
['Simulation'],Silent Hunter® III,15210
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,16180
['Casual'],Mystery P.I.™ - The Vegas Heist,3520
['Casual'],Luxor,15970
['Casual'],Reaxxion,15950
['Casual'],Little Farm,15960
['Casual'],7 Wonders II,15900
['Casual'],Luxor Amun Rising,15910
['Casual'],Luxor 3,15930
['Simulation'],Petz® Horsez® 2,15160
['Casual'],Luxor 2,15920
"['Action', 'Adventure']",Rayman Raving Rabbids™,15080
['Simulation'],Silent Hunter®: Wolves of the Pacific,15200
['Simulation'],IL-2 Sturmovik: 1946,15320
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240
['Adventure'],Bone: Out From Boneville,8310
['Racing'],Midnight Outlaw: 6 Hours to SunUp,12600
['Adventure'],Bone: The Great Cow Race,8320
['Racing'],Sprint Cars Road to Knoxville,12590
['Simulation'],Ride! Carnival Tycoon,12560
['Casual'],Mahjongg Investigations: Under Suspicion,12540
['Adventure'],Dracula Origin,11050
['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,10520
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,11040
"['Adventure', 'Indie']",Eternity's Child,19500
"['Simulation', 'Strategy']",Pacific Storm Allies,11260
"['Action', 'Indie']",Tank Universal,19200
['Racing'],FlatOut: Ultimate Carnage,12360
['Adventure'],Oddworld: Abe's Exoddus®,15710
['Adventure'],Oddworld: Abe's Oddysee®,15700
['Racing'],GTR Evolution Expansion Pack for RACE 07,8660
['Strategy'],X-COM: Enforcer,7770
['Strategy'],X-COM: Apocalypse,7660
['Strategy'],X-COM: UFO Defense,7760
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,20510
['Action'],Crysis Warhead®,17330
['Action'],Crysis,17300
['Strategy'],X-COM: Interceptor,7730
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,20900
['Indie'],Multiwinia,1530
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,8690
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,17120
['Strategy'],Sid Meier's Civilization IV: Colonization,16810
['Action'],Tom Clancy's Rainbow Six® 3 Gold,19830
"['Action', 'Adventure']",LEGO Batman,21000
"['Simulation', 'Strategy']",City Life 2008,4460
"['RPG', 'Strategy']",Hinterland,17140
['Action'],Brothers in Arms: Hell's Highway™,15390
"['Indie', 'Casual']",Gravitron 2,21300
['Racing'],Xpand Rally Xtreme,3050
['Strategy'],Heroes of Might &amp; Magic V: Hammers of Fate,15380
['Action'],Brothers in Arms: Earned in Blood™,19800
['Strategy'],Heroes of Might &amp; Magic V: Tribes of the East,15370
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,19930
['Casual'],Brain Spa,15350
['Action'],The Sum of All Fears,19810
['Casual'],Peggle™ Nights,3540
['Indie'],World of Goo,22000
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2820
['Action'],Mare Nostrum,1230
"['Casual', 'Indie']",Spectraball,18300
"['Indie', 'Casual', 'Sports']",Galactic Bowling,20200
"['Action', 'Adventure']",Bully: Scholarship Edition,12200
['Action'],Far Cry® 2: Fortune's Edition,19900
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,11240
['Simulation'],PRR Wagon Pack 01,256522
['Simulation'],"Class 421 London South East ""Jaffa Cake""",275144
['Simulation'],ATSF Wagon Pack 01,256521
['Simulation'],GP20 Union Pacific Add-on Livery,222569
['Simulation'],UK Van Wagon Pack,256535
['Simulation'],CSX SD70MAC Add-on Livery,256611
['Simulation'],CSX ES44AC Add-on Livery,256576
['Action'],Saints Row 2,9480
['Action'],Dead Space,17470
['RPG'],Rise of the Argonauts,12770
"['Action', 'Adventure']",Mirror's Edge™,17410
"['Indie', 'Strategy']",Defense Grid: The Awakening,18500
['Action'],F.E.A.R. 2: Project Origin,16450
"['Strategy', 'Indie']",Harvest: Massive Encounter,15400
"['Indie', 'Strategy']",Mayhem Intergalactic,18600
"['Action', 'Indie']",Larva Mortus,11340
['Strategy'],Knights of Honor,25830
"['Action', 'Adventure', 'Strategy']",Ceville,23460
['Strategy'],Empire: Total War™ - Special Forces Units &amp; Bonus Content,10600
['Action'],Watchmen: The End is Nigh,21010
"['Action', 'Adventure', 'Indie']",Penumbra Overture,22180
['Action'],Unreal Tournament 3 Black,13210
['RPG'],Drakensang,12640
"['Casual', 'Strategy']",Age of Booty™,21600
"['Indie', 'Simulation']",The Graveyard,27020
['Racing'],Burnout Paradise: The Ultimate Box,24740
['Action'],Zombie Master,90047
"['Action', 'Indie']",The Maw,26000
"['Action', 'Indie']",The Maw: River Redirect,26006
"['Action', 'Indie']",The Maw: Brute Force,26005
"['Casual', 'Indie']",Obulis,11330
['Indie'],Space Giraffe,27800
"['Simulation', 'Strategy']",Codename: Panzers - Cold War,9850
['Casual'],Escape Rosecliff Island,3600
"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall®,29580
"['RPG', 'Massively Multiplayer']",Guild Wars® Game of the Year Edition,29540
"['RPG', 'Massively Multiplayer']",Guild Wars Factions®,29560
"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,29570
['Casual'],Puzzle Kingdoms,23700
['Casual'],Samantha Swift and the Golden Touch,16060
['RPG'],Two Worlds Epic Edition,1930
['Strategy'],Helldorado,18470
"['Action', 'Adventure', 'RPG']",X-Blades,7510
"['Action', 'Indie']",Zeno Clash,22200
['Indie'],The Maw: Speeder Lane,26007
"['RPG', 'Strategy']",King's Bounty: The Legend,25900
"['Casual', 'Simulation']",Virtual Families,16200
['Racing'],Death Track®: Resurrection,7840
"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,8890
"['RPG', 'Strategy']",Freedom Force,8880
"['Indie', 'Simulation', 'Strategy']",Light of Altair,34500
"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,1280
"['Action', 'Adventure']",Prototype™,10150
"['Adventure', 'Indie']",Blueberry Garden,29160
['Strategy'],Port Royale 2,12470
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,22330
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,22320
['Adventure'],Ankh 2: Heart of Osiris,12440
['Simulation'],Armored Fist 3,32710
['Simulation'],MiG-29 Fulcrum,32740
['Strategy'],BC Kings,12460
['Action'],Call of Juarez®: Bound in Blood,21980
['Adventure'],Nancy Drew®: Legend of the Crystal Skull,31860
['Adventure'],Nancy Drew®: The Creature of Kapu Cave,31900
['Adventure'],Nancy Drew®: The Phantom of Venice,31920
['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,31930
"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,35800
"['Simulation', 'Sports']",Hunting Unlimited 2010,12690
['Adventure'],Tales of Monkey Island Complete Pack,31170
['Action'],Street Fighter® IV,21660
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,6080
['Adventure'],Indiana Jones® and the Fate of Atlantis™,6010
['Action'],Armed and Dangerous®,6090
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",6060
['Adventure'],Indiana Jones® and the Last Crusade™,32310
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,32330
['Adventure'],The Secret of Monkey Island: Special Edition,32360
['Strategy'],Warfare,35300
"['Action', 'Racing']",Clutch,35310
['Adventure'],Nancy Drew®: Ransom of the Seven Ships,31980
['Adventure'],Nancy Drew®: Ransom of the Seven Ships Demo,31990
['Sports'],3D Ultra™ Minigolf Adventures,10140
['Adventure'],King's Quest™ Collection,10100
['Action'],TimeShift™,10130
['Adventure'],Space Quest™ Collection,10110
['Action'],Killing Floor Outbreak Character Pack,1256
"['Action', 'Casual']",Aces of the Galaxy™,10120
"['Simulation', 'Strategy']",Tropico Reloaded,33520
['Casual'],Mystery P.I. - Lost in Los Angeles,3610
['Action'],Bionic Commando: Rearmed,21680
"['Action', 'Adventure']",Bionic Commando,21670
['Action'],Watchmen: The End is Nigh Part 2,21030
"['Action', 'Indie']",Foreign Legion: Buckets of Blood,36000
"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,32370
"['Indie', 'Casual']",Osmos,29180
['RPG'],Fallout 2: A Post Nuclear Role Playing Game,38410
['Strategy'],Fallout Tactics: Brotherhood of Steel,38420
['Action'],Kingpin — Life of Crime,38430
"['Action', 'Adventure']",Mini Ninjas Demo,35050
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,31180
['Casual'],Jewel Quest Pack,37960
['Casual'],Mahjong Quest Collection,38000
"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",37400
['Action'],Tom Clancy's Splinter Cell Chaos Theory®,13570
"['Action', 'Racing']",Crash Time 2,11390
['Strategy'],XIII Century – Gold Edition,34420
['Simulation'],World of Zoo,43100
['Simulation'],18 Wheels of Steel: Extreme Trucker,33730
"['Action', 'Adventure']",Mini Ninjas,35000
['Casual'],Freeze Tag Fun Pack #2,39392
['Casual'],Freeze Tag Fun Pack #1,39391
"['Adventure', 'Casual', 'Indie']",Windosill,37600
['Simulation'],Train Simulator: Colton &amp; Northern Route Add-On,24029
"['Adventure', 'Casual']",Midnight Mysteries,32140
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,31190
['Action'],Joint Operations: Combined Arms Gold,32770
['Simulation'],Train Simulator: US Loco &amp; Asset Pack,208306
['Simulation'],DinerTown Tycoon,37300
['Simulation'],Train Simulator: European Loco &amp; Asset Pack,208300
['RPG'],Risen,40300
['Casual'],Flora's Fruit Farm,35070
['Strategy'],Empire: Total War™ - The Warpath Campaign,10606
"['Adventure', 'Indie']",Machinarium,40700
['Action'],Medal of Honor: Airborne,24840
['Racing'],Need for Speed: Shift,24870
['RPG'],Torchlight,41500
['Strategy'],Command &amp; Conquer: Red Alert 3 - Uprising,24800
['Strategy'],The Stronghold Collection,901735
['Strategy'],East India Company: Privateer,42800
['Action'],Painkiller: Resurrection,39560
"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,39550
['Adventure'],Secret Files: Tunguska,40330
['Strategy'],Rush for Berlin Gold,40320
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,31200
['Strategy'],Men of War: Red Tide,3130
"['Action', 'Indie']",Hammerfight,41100
"['Action', 'RPG']",SpellForce - Platinum Edition,39540
['Strategy'],Massive Assault: Phantom Renaissance,34640
['Strategy'],Massive Assault,34630
"['Action', 'Indie']",Serious Sam HD: The First Encounter,41000
['Adventure'],Secret Files 2: Puritas Cordis,40340
['RPG'],Dragon Age: Origins,17450
"['Action', 'RPG', 'Indie']",Aztaka,37100
"['Indie', 'Casual']",Magnetis,37500
['Strategy'],For The Glory: A Europa Universalis Game,42810
['Action'],Call of Duty®: Modern Warfare® 2,10180
['Adventure'],LEGO® Star Wars™ - The Complete Saga,32440
['RPG'],Overlord™,11450
['RPG'],Overlord™: Raising Hell,12710
['Strategy'],Command &amp; Conquer 3: Tiberium Wars,24790
"['Indie', 'Casual']",Yumsters 2: Around the World,29120
['Strategy'],Command &amp; Conquer 3: Kane's Wrath,24810
"['Indie', 'Simulation', 'Strategy']",Gratuitous Space Battles,41800
['Simulation'],Wings of Prey,45300
"['Action', 'Adventure', 'RPG']",The Bard's Tale,41900
['Action'],Defence Alliance 2,35420
['Action'],STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,32430
['RPG'],Fallout 3: Game of the Year Edition,22370
"['Strategy', 'Indie', 'Simulation']",Gratuitous Space Battles: The Tribe,41802
['Simulation'],Build-A-Lot,38080
['Simulation'],Build-A-Lot 2: Town of the Year,38090
['Simulation'],Build-A-Lot 3: Passport to Europe,38100
"['Casual', 'Simulation']",Coconut Queen,38070
['Casual'],Roogoo,38210
"['Action', 'Adventure']",Devil May Cry 4,45700
"['Action', 'Indie', 'RPG']",Avencast: Rise of the Mage,46410
['Simulation'],Build-A-Lot 4: Power Source,38110
"['Action', 'Free to Play', 'Indie']","Pirates, Vikings, and Knights II",17570
['Casual'],Farm Frenzy 2,38130
['Casual'],Farm Frenzy 3: American Pie,38160
['Casual'],Farm Frenzy 3,38150
['Casual'],Farm Frenzy,38120
['Casual'],Farm Frenzy: Pizza Party,38140
['Casual'],Cake Mania Main Street™,36300
"['Strategy', 'Casual']",Westward® IV: All Aboard,36310
"['Adventure', 'Casual']",Iron Roses,36320
['Strategy'],UFO: Extraterrestrials Gold,37030
['Adventure'],LEGO® Indiana Jones™ 2: The Adventure Continues,32450
['Sports'],Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,34180
"['Action', 'Indie', 'Racing']",Super Laser  Racer,44100
['Strategy'],Hearts of Iron III: Soviet Infantry Pack DLC,25960
['Action'],NecroVisioN: Lost Company,46250
['Casual'],Cradle of Persia,38180
['Action'],Aliens vs. Predator Swarm Map Pack,10695
"['Action', 'Indie']",Serious Sam Classic: The First Encounter,41050
['Simulation'],Train Simulator: Fort Kent to Eagle Lake Route Add-On,24055
"['Action', 'RPG']",Mount &amp; Blade: Warband,48700
['Action'],Coniclysm,39900
"['Action', 'Indie']",Plain Sight,49900
['Action'],Lead and Gold: Gangs of the Wild West,42120
['Action'],Grand Theft Auto: Episodes from Liberty City,12220
"['Action', 'Adventure']",Dark Void™ Zero,45730
['Indie'],Fortix,45400
"['Action', 'Casual', 'Indie']",Beat Hazard,49600
['Adventure'],Sam &amp; Max: The Devil’s Playhouse,901399
"['Simulation', 'Strategy']",M.U.D. TV,43500
['Simulation'],Wings of Luftwaffe Add-on,45302
"['Adventure', 'Indie']",The Misadventures of P.B. Winterbottom,40930
['Action'],AquaNox 2: Revelation,39640
['Action'],AquaNox,39630
"['Casual', 'Indie']",Fluttabyes,23150
['Casual'],Hidden Expedition: Titanic,50940
"['Casual', 'Indie']",Hidden Expedition: Amazon,50920
['Strategy'],Napoleon: Total War™ - Coalition Battle Pack,34178
['Casual'],Fitness Dash™,37340
['Casual'],Gemini Lost™,37390
['Casual'],DinerTown Detective Agency™,37310
['Casual'],Mahjong Roadshow™,37360
['Casual'],Hotel Dash™ Suite Success™,49000
['Casual'],Nightshift Legacy: The Jaguar's Eye™,37330
['Casual'],The Nightshift Code™,37320
['Casual'],TriJinx: A Kristine Kross Mystery™,37370
['Casual'],Valerie Porter and the Scarlet Scandal™,37380
"['Action', 'Adventure', 'Casual']",Biozone,19080
"['Action', 'Indie']",Iron Grip: Warlord,31700
"['Action', 'Adventure']",Rocket Knight,19030
['Indie'],Max and the Magic Marker,50820
"['Action', 'Indie']",Flight of the Icarus,49800
['Casual'],Puzzler World,33650
"['Action', 'Adventure']",Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,901478
"['Casual', 'Indie']",Ziro,33660
['Action'],Altered Beast™,34281
['Action'],Comix Zone™,34272
"['Action', 'Adventure', 'Casual', 'RPG']",SEGA Mega Drive and Genesis Classics,34270
['Action'],Golden Axe™,34276
['Action'],Ecco the Dolphin™,34274
['Strategy'],Gain Ground™,34275
['Action'],Shinobi™ III: Return of the Ninja Master,34277
['Action'],Crack Down™,34273
['Action'],VectorMan™,34280
['Action'],Shadow Dancer™,34282
['Action'],Space Harrier™ II,34279
"['Action', 'RPG']",Alpha Protocol™,34010
['Action'],Alien Breed: Impact,22610
['RPG'],Fallout 3 - Point Lookout,22440
"['Strategy', 'Indie']",Defense Grid: Resurgence Map Pack 1,18508
['RPG'],Fallout 3 - Mothership Zeta,22430
['RPG'],Fallout 3 - Broken Steel,22410
['RPG'],Fallout 3 - The Pitt,22420
['Action'],Alien Swarm,630
['RPG'],Fallout 3 - Operation Anchorage,22400
"['Simulation', 'Strategy']",SimCity™ 4 Deluxe Edition,24780
"['Strategy', 'RPG']",Disciples III - Renaissance Steam Special Edition,33670
"['Casual', 'Indie']",Tidalis,40420
"['Action', 'Casual', 'Indie']",Razor2: Hidden Skies,34920
['Strategy'],The Settlers 7: Uncharted Land Map Pack,48136
['RPG'],Dimensity,46720
['Action'],Kane &amp; Lynch 2: Dog Days,28000
"['Simulation', 'Strategy']",The Guild II Renaissance,39680
['Strategy'],Hearts of Iron III DLC: German II Spritepack,25962
['Simulation'],Trainz Simulator DLC: Blue Comet,24634
['Strategy'],Fantasy Wars,63900
['Action'],Mafia II,50130
['Simulation'],Train Simulator: Network Southeast Class 47 Loco Add-On,24075
"['RPG', 'Casual']",Puzzle Quest 2,47540
['Action'],Burn Zombie Burn!,50510
['Indie'],Madballs B*D*I Clan Skins,25760
['Indie'],Madballs Scorched Evolution Skin Rollup,25763
['Indie'],Madballs BDI Evolution Skin Rollup,25762
['Indie'],Madballs Holiday Skin Rollup,25764
['Strategy'],Victoria I Complete,42980
['Simulation'],Ship Simulator Extremes,48800
['Strategy'],Worms Reloaded,22600
"['Indie', 'Simulation', 'Strategy']",Making History II: The War of the World,46770
"['Action', 'Simulation', 'Strategy']",Arma 2: British Armed Forces,65700
['Strategy'],Victoria II,42960
['Indie'],Madballs Scorched Clan Skins,25761
['Action'],Kane &amp; Lynch 2: The Doggie Bag,28010
['Action'],Kane &amp; Lynch 2: Multiplayer Masks Pack,28012
['Simulation'],Trainz: Classic Cabon City,24640
['Action'],Kane &amp; Lynch 2: Alliance Weapon Pack,28011
['Strategy'],Cossacks: Back to War,4850
['Adventure'],Broken Sword: Director's Cut,57640
['Casual'],Chime,62100
['Action'],Mafia II DLC: Jimmy's Vendetta,50145
['Action'],Sniper: Ghost Warrior - Map Pack,34841
"['Action', 'Indie']",VVVVVV,70300
['Strategy'],The Settlers 7: Conquest - The Empire Expansion DLC,48137
"['Action', 'Adventure', 'Indie']",Amnesia: The Dark Descent,57300
"['RPG', 'Indie']",Recettear: An Item Shop's Tale,70400
"['Action', 'Casual', 'Indie']",Swarm Arena,46600
"['Action', 'Simulation']",Super Thunder Blade™,34314
['Action'],Galaxy Force II™,34310
['Simulation'],Hacker Evolution,70100
"['Indie', 'Simulation']",Hacker Evolution: Untold,70110
"['Casual', 'Indie']",Faerie Solitaire,38600
['Strategy'],Patrician IV - Steam Special Edition,57620
['Action'],Bonanza Bros.™,34284
"['RPG', 'Strategy']",King's Bounty: Crossworlds,63910
['Simulation'],Train Simulator: Green &amp; Gold HST DMU Add-On,24082
['Strategy'],Sid Meier's Civilization® V,8930
['Strategy'],Commander: Conquest of the Americas - Colonial Navy,49310
"['Action', 'Indie']",Serious Sam Classic: The Second Encounter,41060
"['Indie', 'Strategy']",Star Ruler,70900
"['Action', 'Adventure']",Blade Kitten,9940
['Action'],Alien Breed 2: Assault,22650
['Action'],Serious Sam HD: Gold Edition,901553
"['Action', 'Adventure']",Darksiders™,50620
"['Simulation', 'Strategy']",X: Beyond the Frontier,2840
['Strategy'],The Kings' Crusade,42920
"['Action', 'RPG', 'Massively Multiplayer']",Guild Wars: Eye of the North®,29700
"['Simulation', 'Strategy']",X: Tension,2850
"['RPG', 'Strategy']",Age of Wonders II: The Wizard's Throne,61510
"['Adventure', 'Casual', 'Simulation']",Governor of Poker 2,70200
"['Adventure', 'Casual', 'Indie', 'Simulation']",Governor of Poker 2 - Premium Edition,70210
"['RPG', 'Strategy']",Age of Wonders Shadow Magic,61520
"['RPG', 'Strategy']",Age of Wonders,61500
['Action'],Medal of Honor™,47790
"['Indie', 'RPG', 'Strategy']",Grotesque Tactics: Evil Heroes,46450
"['Action', 'Adventure']",Lost Planet® 2,45750
"['Adventure', 'Casual', 'Indie']",Doc Clock: The Toasted Sandwich of Time,57800
"['Action', 'RPG']",Fallout: New Vegas,22380
"['Action', 'Casual', 'Indie']",The Polynomial - Space of the music,67000
"['Adventure', 'Indie']",Puzzle Bots,80300
"['Indie', 'Racing']",Nimbus,50000
['Strategy'],Civilization V - Babylon (Nebuchadnezzar II),16868
"['Action', 'Indie', 'RPG']",DeathSpank,18040
"['Action', 'Simulation']",Virtua Fighter™ 2,71115
['Casual'],Columns™ III,34317
['RPG'],Sword of Vermilion™,71114
['Action'],Golden Axe™ II,71112
"['Action', 'Adventure']",Sonic The Hedgehog,71113
['Adventure'],Ecco™: The Tides of Time,34319
['Action'],Bio-Hazard Battle™,34316
['Action'],Alien Storm,34315
"['Action', 'Indie']",Shank,6120
"['Action', 'Adventure', 'Indie']",The Ball,35460
['Action'],STAR WARS™: The Force Unleashed™ II,32500
"['Action', 'Casual']",Flight Control HD,62000
"['RPG', 'Simulation', 'Strategy']",Patrician III,33570
"['Action', 'Casual', 'Indie']",BIT.TRIP BEAT,63700
"['Simulation', 'Strategy']",Theatre of War 2 - Battle for Caen,46362
['Casual'],Woody Two-Legs: Attack of the Zombie Pirates,49320
"['Adventure', 'Indie']",Clones,72400
['Strategy'],Victoria II: Interwar Spritepack,42964
['Action'],Front Mission Evolved: Wanzer Pack 2,43011
['Action'],Pound of Ground,33980
['Casual'],Pat &amp; Mat,65710
['Adventure'],Alternativa,33990
